Fecha,Producto,Cantidad Vendida,Precio
2023-01-06,Focos,97,35
2023-01-06,Desinfectante,68,45
2023-01-06,Bufandas,76,65
2023-01-06,Escoba,13,120
2023-01-07,Perfume,31,180
2023-01-07,Guantes,95,55
2023-01-07,Shampoo,316,100
2023-01-07,Trapeador,27,95
2023-01-07,Suavizante,175,65
2023-01-08,Vitaminas,73,125
2023-01-08,Ambientador,54,65
2023-01-08,Focos,52,35
2023-01-08,Desodorante,379,100
2023-01-08,Suavizante,170,65
2023-01-08,Cremas,270,120
2023-01-08,Fosforos,59,8
2023-01-08,Cubeta,8,150
2023-01-08,Repelente de Insectos,58,55
2023-01-09,Desodorante,754,100
2023-01-09,Trapeador,44,95
2023-01-09,Repelente de Insectos,49,55
2023-01-09,Guantes,31,55
2023-01-09,Cinta Adhesiva,48,20
2023-01-09,Condones,729,170
2023-01-09,Focos,91,35
2023-01-09,Cuadernos,184,45
2023-01-09,Lapices,332,15
2023-01-10,Cargadores,10,85
2023-01-10,Sombreros,35,85
2023-01-11,Cubeta,16,150
2023-01-11,Cargadores,19,85
2023-01-11,Toallas Femeninas,118,70
2023-01-11,Condones,939,170
2023-01-11,Suavizante,54,65
2023-01-11,Detergente,200,75
2023-01-11,Aspirinas,90,35
2023-01-11,Jabon,563,100
2023-01-11,Tijeras,47,55
2023-01-11,Alcohol,96,30
2023-01-11,Perfume,22,180
2023-01-11,Cables USB,56,45
2023-01-11,Focos,39,35
2023-01-11,Peines,29,35
2023-01-11,Sombreros,15,85
2023-01-11,Desodorante,443,100
2023-01-11,Baterias,108,25
2023-01-11,Esponjas,83,15
2023-01-11,Bufandas,22,65
2023-01-11,Escoba,43,120
2023-01-11,Paraguas,38,120
2023-01-11,Cortauñas,46,25
2023-01-11,Algodon,82,20
2023-01-11,Trapeador,57,95
2023-01-11,Curitas,110,25
2023-01-12,Sombreros,37,85
2023-01-12,Focos,97,35
2023-01-12,Toallas Femeninas,200,70
2023-01-13,Aspirinas,131,35
2023-01-13,Esponjas,62,15
2023-01-13,Desodorante,720,100
2023-01-14,Calcetines,228,35
2023-01-14,Espejos,29,75
2023-01-14,Cinta Adhesiva,100,20
2023-01-14,Bufandas,54,65
2023-01-14,Cargadores,35,85
2023-01-14,Focos,68,35
2023-01-14,Esponjas,118,15
2023-01-14,Desodorante,105,100
2023-01-14,Curitas,136,25
2023-01-14,Peines,51,35
2023-01-14,Cortauñas,32,25
2023-01-14,Desinfectante,41,45
2023-01-14,Guantes de Limpieza,49,35
2023-01-14,Cepillo,172,50
2023-01-14,Algodon,57,20
2023-01-14,Lapices,205,15
2023-01-14,Trapeador,39,95
2023-01-14,Cuadernos,186,45
2023-01-14,Toallas de Papel,471,25
2023-01-14,Ambientador,95,65
2023-01-14,Pasta Dental,342,45
2023-01-14,Aspirinas,167,35
2023-01-14,Cremas,239,120
2023-01-15,Toallas Femeninas,324,70
2023-01-15,Algodon,87,20
2023-01-15,Cuadernos,121,45
2023-01-15,Ambientador,99,65
2023-01-15,Desodorante,411,100
2023-01-15,Esponjas,161,15
2023-01-15,Papel Higienico,457,35
2023-01-15,Cepillo,155,50
2023-01-15,Enjuague Bucal,190,85
2023-01-15,Trapeador,59,95
2023-01-15,Desinfectante,72,45
2023-01-15,Espejos,12,75
2023-01-16,Toallas de Papel,467,25
2023-01-16,Ambientador,80,65
2023-01-16,Calcetines,228,35
2023-01-16,Perfume,27,180
2023-01-16,Brochas,30,45
2023-01-16,Guantes,98,55
2023-01-16,Paraguas,21,120
2023-01-16,Pasta Dental,253,45
2023-01-16,Sombreros,16,85
2023-01-16,Mochilas,16,250
2023-01-16,Tijeras,19,55
2023-01-16,Cargadores,25,85
2023-01-16,Suavizante,135,65
2023-01-16,Papel Higienico,359,35
2023-01-16,Shampoo,564,100
2023-01-16,Cinta Adhesiva,82,20
2023-01-16,Limpiavidrios,78,55
2023-01-16,Cepillo,50,50
2023-01-16,Focos,51,35
2023-01-16,Cuadernos,79,45
2023-01-16,Protectores Solares,20,95
2023-01-16,Alcohol,32,30
2023-01-16,Espejos,39,75
2023-01-16,Desodorante,143,100
2023-01-16,Curitas,64,25
2023-01-17,Servilletas,310,20
2023-01-17,Guantes,36,55
2023-01-17,Papel Higienico,600,35
2023-01-17,Escoba,18,120
2023-01-17,Fosforos,72,8
2023-01-17,Paraguas,14,120
2023-01-17,Velas,46,30
2023-01-17,Aspirinas,110,35
2023-01-17,Bufandas,35,65
2023-01-17,Sombreros,56,85
2023-01-17,Toallas Femeninas,275,70
2023-01-17,Esponjas,81,15
2023-01-17,Peines,29,35
2023-01-17,Vitaminas,77,125
2023-01-17,Toallas de Papel,422,25
2023-01-17,Focos,74,35
2023-01-17,Cremas,196,120
2023-01-17,Limpiavidrios,42,55
2023-01-17,Cepillo,137,50
2023-01-18,Lapices,261,15
2023-01-18,Repelente de Insectos,58,55
2023-01-18,Focos,56,35
2023-01-18,Cables USB,22,45
2023-01-18,Guantes de Limpieza,73,35
2023-01-18,Sombreros,48,85
2023-01-18,Desodorante,773,100
2023-01-18,Perfume,38,180
2023-01-18,Esponjas,178,15
2023-01-18,Ambientador,78,65
2023-01-19,Aspirinas,51,35
2023-01-19,Cinta Adhesiva,103,20
2023-01-19,Cables USB,21,45
2023-01-20,Toallas Femeninas,373,70
2023-01-20,Alcohol,28,30
2023-01-20,Papel Higienico,231,35
2023-01-20,Brochas,24,45
2023-01-20,Cortauñas,44,25
2023-01-20,Enjuague Bucal,136,85
2023-01-20,Aspirinas,148,35
2023-01-20,Guantes,43,55
2023-01-20,Perfume,15,180
2023-01-20,Detergente,224,75
2023-01-20,Toallas de Papel,182,25
2023-01-20,Jabon,826,100
2023-01-20,Trapeador,55,95
2023-01-20,Sombreros,27,85
2023-01-20,Esponjas,51,15
2023-01-20,Velas,25,30
2023-01-20,Cremas,224,120
2023-01-20,Curitas,62,25
2023-01-20,Cubeta,22,150
2023-01-20,Cargadores,16,85
2023-01-20,Cloro,141,40
2023-01-20,Escoba,39,120
2023-01-21,Escoba,33,120
2023-01-21,Guantes,54,55
2023-01-21,Cubeta,7,150
2023-01-21,Trapeador,16,95
2023-01-21,Guantes de Limpieza,31,35
2023-01-21,Pasta Dental,211,45
2023-01-21,Servilletas,414,20
2023-01-22,Enjuague Bucal,174,85
2023-01-22,Cepillo,141,50
2023-01-22,Repelente de Insectos,25,55
2023-01-22,Alcohol,38,30
2023-01-22,Suavizante,108,65
2023-01-22,Protectores Solares,56,95
2023-01-22,Perfume,32,180
2023-01-23,Ambientador,77,65
2023-01-23,Esponjas,168,15
2023-01-23,Trapeador,39,95
2023-01-23,Perfume,29,180
2023-01-23,Cargadores,16,85
2023-01-23,Shampoo,628,100
2023-01-23,Baterias,132,25
2023-01-23,Pasta Dental,201,45
2023-01-23,Velas,21,30
2023-01-23,Enjuague Bucal,132,85
2023-01-23,Detergente,92,75
2023-01-23,Algodon,44,20
2023-01-23,Peines,32,35
2023-01-23,Jabon,861,100
2023-01-23,Cuadernos,198,45
2023-01-23,Paraguas,39,120
2023-01-23,Cremas,379,120
2023-01-23,Curitas,72,25
2023-01-23,Cables USB,43,45
2023-01-24,Enjuague Bucal,78,85
2023-01-24,Condones,590,170
2023-01-24,Brochas,79,45
2023-01-24,Esponjas,195,15
2023-01-24,Perfume,30,180
2023-01-24,Jabon,931,100
2023-01-24,Mochilas,13,250
2023-01-24,Velas,53,30
2023-01-24,Escoba,27,120
2023-01-24,Papel Higienico,304,35
2023-01-24,Cargadores,12,85
2023-01-24,Toallas Femeninas,306,70
2023-01-24,Cubeta,14,150
2023-01-24,Cepillo,173,50
2023-01-24,Pasta Dental,355,45
2023-01-24,Paraguas,16,120
2023-01-24,Trapeador,26,95
2023-01-24,Cremas,147,120
2023-01-25,Cepillo,80,50
2023-01-25,Detergente,109,75
2023-01-25,Trapeador,29,95
2023-01-25,Cremas,206,120
2023-01-25,Calcetines,157,35
2023-01-25,Servilletas,140,20
2023-01-25,Aspirinas,115,35
2023-01-25,Maquillaje,16,95
2023-01-25,Esponjas,70,15
2023-01-25,Desinfectante,78,45
2023-01-26,Cinta Adhesiva,64,20
2023-01-26,Escoba,50,120
2023-01-26,Paraguas,16,120
2023-01-26,Cubeta,22,150
2023-01-26,Protectores Solares,30,95
2023-01-26,Condones,938,170
2023-01-26,Maquillaje,56,95
2023-01-26,Sombreros,46,85
2023-01-26,Alcohol,86,30
2023-01-26,Limpiavidrios,45,55
2023-01-26,Peines,92,35
2023-01-26,Tijeras,15,55
2023-01-26,Fosforos,84,8
2023-01-26,Perfume,20,180
2023-01-26,Algodon,58,20
2023-01-26,Guantes de Limpieza,73,35
2023-01-26,Cloro,43,40
2023-01-26,Esponjas,195,15
2023-01-26,Repelente de Insectos,59,55
2023-01-26,Trapeador,33,95
2023-01-26,Desodorante,387,100
2023-01-26,Enjuague Bucal,147,85
2023-01-26,Espejos,37,75
2023-01-27,Desinfectante,118,45
2023-01-27,Cremas,194,120
2023-01-27,Cepillo,96,50
2023-01-27,Alcohol,29,30
2023-01-27,Perfume,21,180
2023-01-28,Bufandas,26,65
2023-01-28,Guantes,85,55
2023-01-28,Tijeras,48,55
2023-01-28,Algodon,75,20
2023-01-28,Pasta Dental,188,45
2023-01-28,Enjuague Bucal,95,85
2023-01-28,Cortauñas,53,25
2023-01-28,Cargadores,35,85
2023-01-28,Cepillo,222,50
2023-01-28,Velas,57,30
2023-01-28,Fosforos,62,8
2023-01-28,Maquillaje,17,95
2023-01-28,Toallas de Papel,432,25
2023-01-29,Calcetines,140,35
2023-01-29,Escoba,35,120
2023-01-29,Lapices,350,15
2023-01-29,Bufandas,68,65
2023-01-29,Toallas Femeninas,404,70
2023-01-29,Shampoo,458,100
2023-01-29,Desinfectante,66,45
2023-01-29,Velas,55,30
2023-01-29,Perfume,29,180
2023-01-29,Desodorante,399,100
2023-01-29,Focos,69,35
2023-01-29,Guantes de Limpieza,27,35
2023-01-29,Cinta Adhesiva,114,20
2023-01-29,Detergente,163,75
2023-01-29,Espejos,28,75
2023-01-29,Curitas,129,25
2023-01-29,Papel Higienico,365,35
2023-01-29,Servilletas,456,20
2023-01-29,Limpiavidrios,34,55
2023-01-29,Alcohol,38,30
2023-01-29,Esponjas,147,15
2023-01-29,Cubeta,5,150
2023-01-29,Ambientador,35,65
2023-01-29,Tijeras,33,55
2023-01-29,Pasta Dental,324,45
2023-01-30,Enjuague Bucal,176,85
2023-01-30,Calcetines,241,35
2023-01-30,Toallas de Papel,471,25
2023-01-30,Maquillaje,59,95
2023-01-30,Cortauñas,116,25
2023-01-30,Sombreros,51,85
2023-01-30,Desinfectante,75,45
2023-01-30,Cloro,128,40
2023-01-30,Jabon,558,100
2023-01-30,Trapeador,56,95
2023-01-30,Repelente de Insectos,59,55
2023-01-30,Cremas,246,120
2023-01-30,Toallas Femeninas,197,70
2023-01-30,Protectores Solares,29,95
2023-01-30,Alcohol,42,30
2023-01-30,Ambientador,91,65
2023-01-30,Mochilas,5,250
2023-01-30,Lapices,225,15
2023-01-30,Pasta Dental,112,45
2023-01-30,Curitas,107,25
2023-01-30,Tijeras,26,55
2023-01-31,Repelente de Insectos,35,55
2023-01-31,Vitaminas,96,125
2023-01-31,Cortauñas,54,25
2023-01-31,Espejos,31,75
2023-01-31,Cuadernos,105,45
2023-01-31,Cubeta,10,150
2023-01-31,Escoba,49,120
2023-01-31,Pasta Dental,125,45
2023-01-31,Cables USB,57,45
2023-01-31,Ambientador,62,65
2023-01-31,Velas,35,30
2023-01-31,Toallas de Papel,278,25
2023-01-31,Cargadores,35,85
2023-01-31,Fosforos,38,8
2023-01-31,Esponjas,79,15
2023-01-31,Bufandas,73,65
2023-01-31,Guantes,57,55
2023-01-31,Suavizante,45,65
2023-01-31,Perfume,11,180
2023-01-31,Baterias,60,25
2023-01-31,Tijeras,32,55
2023-01-31,Mochilas,13,250
2023-01-31,Focos,59,35
2023-01-31,Aspirinas,144,35
2023-02-01,Condones,670,170
2023-02-01,Limpiavidrios,33,55
2023-02-01,Pasta Dental,111,45
2023-02-01,Velas,79,30
2023-02-01,Guantes,50,55
2023-02-01,Perfume,31,180
2023-02-01,Ambientador,92,65
2023-02-01,Alcohol,80,30
2023-02-02,Algodon,83,20
2023-02-02,Limpiavidrios,88,55
2023-02-02,Detergente,216,75
2023-02-02,Lapices,115,15
2023-02-02,Calcetines,205,35
2023-02-02,Repelente de Insectos,37,55
2023-02-03,Cremas,333,120
2023-02-03,Toallas Femeninas,385,70
2023-02-03,Cinta Adhesiva,73,20
2023-02-03,Aspirinas,70,35
2023-02-03,Ambientador,39,65
2023-02-03,Peines,30,35
2023-02-03,Alcohol,91,30
2023-02-03,Cortauñas,55,25
2023-02-03,Trapeador,60,95
2023-02-03,Cables USB,32,45
2023-02-03,Guantes,61,55
2023-02-03,Tijeras,46,55
2023-02-03,Desinfectante,50,45
2023-02-03,Guantes de Limpieza,75,35
2023-02-03,Fosforos,103,8
2023-02-03,Protectores Solares,65,95
2023-02-03,Cuadernos,164,45
2023-02-03,Toallas de Papel,316,25
2023-02-03,Cloro,62,40
2023-02-03,Paraguas,26,120
2023-02-04,Cables USB,23,45
2023-02-04,Aspirinas,84,35
2023-02-04,Alcohol,28,30
2023-02-04,Escoba,13,120
2023-02-04,Cremas,329,120
2023-02-05,Pasta Dental,166,45
2023-02-05,Focos,31,35
2023-02-05,Fosforos,81,8
2023-02-05,Condones,740,170
2023-02-05,Detergente,55,75
2023-02-05,Curitas,51,25
2023-02-05,Mochilas,7,250
2023-02-05,Sombreros,15,85
2023-02-05,Cortauñas,84,25
2023-02-05,Enjuague Bucal,59,85
2023-02-05,Cinta Adhesiva,98,20
2023-02-06,Sombreros,16,85
2023-02-06,Limpiavidrios,29,55
2023-02-06,Espejos,35,75
2023-02-06,Escoba,13,120
2023-02-06,Perfume,13,180
2023-02-06,Enjuague Bucal,155,85
2023-02-06,Jabon,790,100
2023-02-06,Curitas,113,25
2023-02-06,Protectores Solares,76,95
2023-02-06,Mochilas,7,250
2023-02-06,Desodorante,280,100
2023-02-06,Cuadernos,124,45
2023-02-06,Algodon,108,20
2023-02-06,Cargadores,38,85
2023-02-06,Condones,552,170
2023-02-06,Lapices,251,15
2023-02-06,Desinfectante,92,45
2023-02-06,Calcetines,275,35
2023-02-06,Trapeador,41,95
2023-02-06,Cortauñas,88,25
2023-02-07,Calcetines,188,35
2023-02-07,Shampoo,138,100
2023-02-07,Bufandas,64,65
2023-02-07,Trapeador,60,95
2023-02-07,Cortauñas,106,25
2023-02-07,Cinta Adhesiva,52,20
2023-02-07,Esponjas,55,15
2023-02-07,Desinfectante,62,45
2023-02-07,Mochilas,6,250
2023-02-07,Tijeras,30,55
2023-02-07,Aspirinas,114,35
2023-02-08,Vitaminas,54,125
2023-02-08,Cargadores,23,85
2023-02-08,Paraguas,18,120
2023-02-08,Peines,63,35
2023-02-08,Lapices,215,15
2023-02-08,Focos,81,35
2023-02-08,Cepillo,195,50
2023-02-08,Cables USB,31,45
2023-02-08,Esponjas,56,15
2023-02-08,Guantes de Limpieza,29,35
2023-02-08,Maquillaje,24,95
2023-02-09,Alcohol,60,30
2023-02-09,Mochilas,13,250
2023-02-09,Escoba,25,120
2023-02-09,Cepillo,191,50
2023-02-09,Algodon,108,20
2023-02-09,Espejos,23,75
2023-02-10,Fosforos,98,8
2023-02-10,Vitaminas,96,125
2023-02-10,Protectores Solares,57,95
2023-02-10,Toallas de Papel,299,25
2023-02-10,Shampoo,890,100
2023-02-10,Perfume,22,180
2023-02-10,Guantes,88,55
2023-02-10,Limpiavidrios,96,55
2023-02-10,Baterias,138,25
2023-02-10,Cremas,222,120
2023-02-10,Servilletas,378,20
2023-02-10,Brochas,77,45
2023-02-10,Alcohol,81,30
2023-02-10,Tijeras,25,55
2023-02-11,Velas,61,30
2023-02-11,Guantes de Limpieza,37,35
2023-02-11,Desinfectante,97,45
2023-02-11,Baterias,141,25
2023-02-11,Cepillo,156,50
2023-02-11,Servilletas,487,20
2023-02-11,Condones,632,170
2023-02-12,Toallas de Papel,556,25
2023-02-12,Perfume,34,180
2023-02-12,Tijeras,34,55
2023-02-12,Cepillo,161,50
2023-02-12,Alcohol,27,30
2023-02-12,Cloro,43,40
2023-02-12,Guantes de Limpieza,34,35
2023-02-12,Escoba,34,120
2023-02-12,Maquillaje,31,95
2023-02-12,Ambientador,72,65
2023-02-13,Enjuague Bucal,99,85
2023-02-13,Detergente,75,75
2023-02-13,Toallas de Papel,400,25
2023-02-13,Trapeador,24,95
2023-02-13,Condones,836,170
2023-02-13,Cortauñas,120,25
2023-02-14,Calcetines,115,35
2023-02-14,Limpiavidrios,61,55
2023-02-14,Enjuague Bucal,168,85
2023-02-14,Detergente,238,75
2023-02-14,Protectores Solares,68,95
2023-02-14,Sombreros,35,85
2023-02-14,Fosforos,39,8
2023-02-14,Bufandas,56,65
2023-02-14,Cloro,130,40
2023-02-14,Cargadores,23,85
2023-02-14,Servilletas,472,20
2023-02-15,Cinta Adhesiva,103,20
2023-02-15,Brochas,71,45
2023-02-15,Peines,82,35
2023-02-15,Pasta Dental,272,45
2023-02-15,Trapeador,39,95
2023-02-15,Condones,826,170
2023-02-15,Espejos,36,75
2023-02-15,Baterias,60,25
2023-02-15,Escoba,47,120
2023-02-15,Cremas,215,120
2023-02-15,Desinfectante,47,45
2023-02-15,Cepillo,165,50
2023-02-15,Tijeras,37,55
2023-02-15,Alcohol,56,30
2023-02-15,Cargadores,26,85
2023-02-16,Tijeras,37,55
2023-02-16,Desodorante,118,100
2023-02-16,Servilletas,253,20
2023-02-17,Sombreros,24,85
2023-02-17,Toallas de Papel,300,25
2023-02-17,Toallas Femeninas,482,70
2023-02-17,Calcetines,200,35
2023-02-17,Baterias,130,25
2023-02-17,Escoba,40,120
2023-02-17,Cinta Adhesiva,108,20
2023-02-17,Shampoo,777,100
2023-02-17,Pasta Dental,156,45
2023-02-17,Cepillo,257,50
2023-02-17,Cremas,210,120
2023-02-17,Desinfectante,97,45
2023-02-17,Focos,86,35
2023-02-17,Velas,36,30
2023-02-18,Suavizante,175,65
2023-02-18,Curitas,94,25
2023-02-18,Velas,55,30
2023-02-18,Trapeador,34,95
2023-02-18,Cargadores,18,85
2023-02-18,Cables USB,25,45
2023-02-18,Escoba,23,120
2023-02-18,Enjuague Bucal,65,85
2023-02-18,Cepillo,173,50
2023-02-18,Algodon,110,20
2023-02-18,Guantes de Limpieza,47,35
2023-02-18,Alcohol,74,30
2023-02-18,Condones,828,170
2023-02-19,Suavizante,53,65
2023-02-19,Velas,20,30
2023-02-19,Cargadores,31,85
2023-02-19,Desinfectante,74,45
2023-02-20,Esponjas,55,15
2023-02-20,Guantes,64,55
2023-02-20,Ambientador,59,65
2023-02-20,Pasta Dental,150,45
2023-02-20,Toallas Femeninas,114,70
2023-02-20,Limpiavidrios,90,55
2023-02-20,Cortauñas,37,25
2023-02-20,Mochilas,5,250
2023-02-20,Lapices,181,15
2023-02-20,Paraguas,34,120
2023-02-20,Desinfectante,117,45
2023-02-20,Algodon,50,20
2023-02-20,Protectores Solares,20,95
2023-02-21,Vitaminas,49,125
2023-02-21,Servilletas,198,20
2023-02-21,Velas,60,30
2023-02-21,Pasta Dental,116,45
2023-02-21,Desinfectante,103,45
2023-02-21,Espejos,17,75
2023-02-21,Toallas de Papel,287,25
2023-02-21,Fosforos,63,8
2023-02-21,Perfume,15,180
2023-02-21,Cubeta,25,150
2023-02-21,Trapeador,53,95
2023-02-21,Peines,60,35
2023-02-21,Cloro,97,40
2023-02-21,Bufandas,52,65
2023-02-21,Suavizante,64,65
2023-02-21,Shampoo,303,100
2023-02-21,Cargadores,28,85
2023-02-22,Guantes de Limpieza,40,35
2023-02-22,Protectores Solares,54,95
2023-02-22,Cloro,122,40
2023-02-22,Peines,72,35
2023-02-22,Baterias,57,25
2023-02-22,Limpiavidrios,74,55
2023-02-22,Fosforos,40,8
2023-02-22,Cremas,366,120
2023-02-22,Cepillo,216,50
2023-02-23,Cortauñas,33,25
2023-02-23,Algodon,44,20
2023-02-23,Trapeador,35,95
2023-02-23,Aspirinas,88,35
2023-02-23,Fosforos,92,8
2023-02-23,Cargadores,22,85
2023-02-24,Perfume,14,180
2023-02-24,Limpiavidrios,85,55
2023-02-24,Guantes de Limpieza,27,35
2023-02-24,Brochas,31,45
2023-02-24,Pasta Dental,313,45
2023-02-24,Guantes,79,55
2023-02-24,Cortauñas,100,25
2023-02-24,Alcohol,91,30
2023-02-24,Toallas Femeninas,379,70
2023-02-24,Bufandas,38,65
2023-02-25,Alcohol,25,30
2023-02-25,Vitaminas,89,125
2023-02-25,Enjuague Bucal,73,85
2023-02-25,Espejos,15,75
2023-02-25,Trapeador,25,95
2023-02-26,Espejos,22,75
2023-02-26,Vitaminas,41,125
2023-02-26,Toallas de Papel,388,25
2023-02-26,Cepillo,133,50
2023-02-27,Mochilas,20,250
2023-02-27,Guantes,40,55
2023-02-27,Lapices,367,15
2023-02-27,Brochas,66,45
2023-02-27,Detergente,291,75
2023-02-27,Repelente de Insectos,47,55
2023-02-27,Pasta Dental,349,45
2023-02-27,Perfume,15,180
2023-02-27,Suavizante,85,65
2023-02-27,Curitas,114,25
2023-02-27,Cloro,62,40
2023-02-27,Desinfectante,117,45
2023-02-27,Tijeras,47,55
2023-02-27,Baterias,69,25
2023-02-27,Jabon,877,100
2023-02-27,Ambientador,85,65
2023-02-27,Espejos,24,75
2023-02-27,Cremas,380,120
2023-02-27,Velas,36,30
2023-02-27,Cinta Adhesiva,100,20
2023-02-27,Protectores Solares,63,95
2023-02-27,Algodon,105,20
2023-02-27,Condones,820,170
2023-02-28,Desodorante,268,100
2023-02-28,Cloro,104,40
2023-02-28,Espejos,30,75
2023-02-28,Lapices,165,15
2023-02-28,Sombreros,43,85
2023-02-28,Toallas de Papel,274,25
2023-02-28,Brochas,22,45
2023-02-28,Vitaminas,66,125
2023-02-28,Ambientador,42,65
2023-02-28,Paraguas,36,120
2023-02-28,Condones,961,170
2023-02-28,Curitas,88,25
2023-02-28,Peines,92,35
2023-02-28,Aspirinas,149,35
2023-02-28,Perfume,14,180
2023-02-28,Escoba,39,120
2023-02-28,Esponjas,55,15
2023-02-28,Tijeras,32,55
2023-02-28,Pasta Dental,221,45
2023-03-01,Sombreros,49,85
2023-03-01,Limpiavidrios,36,55
2023-03-01,Velas,71,30
2023-03-01,Focos,88,35
2023-03-01,Cepillo,180,50
2023-03-01,Alcohol,100,30
2023-03-01,Calcetines,135,35
2023-03-01,Cinta Adhesiva,112,20
2023-03-01,Cargadores,16,85
2023-03-01,Perfume,23,180
2023-03-02,Jabon,793,100
2023-03-02,Toallas Femeninas,352,70
2023-03-02,Cloro,47,40
2023-03-02,Desinfectante,58,45
2023-03-02,Sombreros,43,85
2023-03-02,Cuadernos,192,45
2023-03-02,Tijeras,38,55
2023-03-02,Cinta Adhesiva,121,20
2023-03-02,Cortauñas,94,25
2023-03-02,Shampoo,205,100
2023-03-02,Paraguas,36,120
2023-03-02,Baterias,51,25
2023-03-02,Detergente,91,75
2023-03-03,Focos,74,35
2023-03-03,Cables USB,17,45
2023-03-03,Paraguas,11,120
2023-03-03,Curitas,92,25
2023-03-03,Repelente de Insectos,26,55
2023-03-03,Limpiavidrios,93,55
2023-03-03,Velas,34,30
2023-03-03,Alcohol,88,30
2023-03-03,Fosforos,108,8
2023-03-03,Condones,858,170
2023-03-03,Cloro,131,40
2023-03-03,Suavizante,119,65
2023-03-03,Protectores Solares,65,95
2023-03-03,Cepillo,277,50
2023-03-03,Espejos,30,75
2023-03-03,Tijeras,18,55
2023-03-04,Focos,93,35
2023-03-04,Velas,76,30
2023-03-04,Calcetines,260,35
